username,acctdesc,location,following,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,followers
Angelalichue,,Palangkaraya,25,24,1002,2021-12-24 18:17:52,2022-06-01 13:46:33,0,"#IbukotaNegara #IKN Nusantara membawa dampak positif bagi pertumbuhan ekonomi di Kalimantan
#SemangatNusantara https://t.co/yoL4bHbtIE","[{'text': 'IbukotaNegara', 'indices': [0, 14]}, {'text': 'IKN', 'indices': [15, 19]}, {'text': 'SemangatNusantara', 'indices': [92, 110]}]"
Amarizahhh,,,83,77,1014,2021-12-24 18:17:39,2022-06-01 13:46:23,0,"#IbukotaNegara #IKN Nusantara membawa dampak positif bagi pertumbuhan ekonomi di Kalimantan
#SemangatNusantara https://t.co/1CbiRZCZ9U","[{'text': 'IbukotaNegara', 'indices': [0, 14]}, {'text': 'IKN', 'indices': [15, 19]}, {'text': 'SemangatNusantara', 'indices': [92, 110]}]"
abangbelneg,"- NKRI 🇮🇩 -
No Radical No Racism No Traitor
🕵️‍♂️🕵️‍♀️",Jakarta,2245,2115,2600,2011-11-16 11:23:03,2022-06-01 13:44:40,0,#IbukotaNegara #IKN Nusantara memberikan dampak positif di Kalimantan dengan membawa #SemangatNusantara https://t.co/AJgqjxe8Iu,"[{'text': 'IbukotaNegara', 'indices': [0, 14]}, {'text': 'IKN', 'indices': [15, 19]}, {'text': 'SemangatNusantara', 'indices': [85, 103]}]"
abangbelneg,"- NKRI 🇮🇩 -
No Radical No Racism No Traitor
🕵️‍♂️🕵️‍♀️",Jakarta,2245,2115,2600,2011-11-16 11:23:03,2022-06-01 13:40:39,0,"#IbukotaNegara #IKN Nusantara memberikan dampak positif di Kalimantan karena akan meningkatkan perekonomian
#SemangatNusantara https://t.co/YOjA6zYCf8","[{'text': 'IbukotaNegara', 'indices': [0, 14]}, {'text': 'IKN', 'indices': [15, 19]}, {'text': 'SemangatNusantara', 'indices': [108, 126]}]"
tribunkaltim,,"Balikpapan, Indonesia",3582,31899,300794,2010-01-10 11:53:59,2022-06-01 10:11:21,0,"Mau Berdomisili di Ibu Kota Baru? Ini Daftar Tanah dan Rumah Murah di Sekitar IKN Nusantara,
 
https://t.co/Uzq0hnDOZ7 lewat @tribunkaltim #IKN #rumahmurah #IbuKotaNegara #Nusantara","[{'text': 'IKN', 'indices': [139, 143]}, {'text': 'rumahmurah', 'indices': [144, 155]}, {'text': 'IbuKotaNegara', 'indices': [156, 170]}, {'text': 'Nusantara', 'indices': [171, 181]}]"
Negriku7,sabr adalah kunci utama,"DKI Jakarta, Indonesia",7,14,949,2021-05-24 09:17:54,2022-06-01 09:56:52,1,#IKN Nusantara untuk Indonesia lebih baik! https://t.co/Vbqvo0e6f4,"[{'text': 'IKN', 'indices': [20, 24]}]"
tribunkaltim,,"Balikpapan, Indonesia",3582,31899,300794,2010-01-10 11:53:59,2022-06-01 09:33:00,0,"Kementerian ATR/BPN Jelaskan Patok Ilegal di IKN, Lahan Warga di Kawasan Inti IKN sudah Didata
 
#IKN #IbuKotaNegara #IKNNusantara #PenajamPaserUtara #PPU #Kaltim #KalimantanTimur

https://t.co/iuBsjyOIIL lewat @tribunkaltim","[{'text': 'IKN', 'indices': [97, 101]}, {'text': 'IbuKotaNegara', 'indices': [102, 116]}, {'text': 'IKNNusantara', 'indices': [117, 130]}, {'text': 'PenajamPaserUtara', 'indices': [131, 149]}, {'text': 'PPU', 'indices': [150, 154]}, {'text': 'Kaltim', 'indices': [155, 162]}, {'text': 'KalimantanTimur', 'indices': [163, 179]}]"
WartaFaktual,Mewartakan Fakta,Indonesia,24,1067,99,2022-03-06 19:47:24,2022-06-01 09:04:30,0,"MK tolak enam gugatan UU IKN
#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/VAYS2nuwlV","[{'text': 'IbukotaNegara', 'indices': [29, 43]}, {'text': 'IKN', 'indices': [44, 48]}, {'text': 'SemangatNusantara', 'indices': [49, 67]}]"
RayaQanita,@R͓̽a͓̽y͓̽a͓̽ ͓̽Q͓̽a͓̽n͓̽i͓̽t͓̽a͓̽,"Makassar, Indonesia",53,35,140,2021-06-13 17:46:58,2022-06-01 08:25:35,0,"Gugatan terhadap IKN ditolak, IKN mendukung kemajuan Indonesia
#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/ygZDBfV6Uk","[{'text': 'IbukotaNegara', 'indices': [63, 77]}, {'text': 'IKN', 'indices': [78, 82]}, {'text': 'SemangatNusantara', 'indices': [83, 101]}]"
ROctavianni,𝐀𝐮𝐭𝐨 𝐅𝐨𝐥𝐥𝐨𝐰 𝐁𝐚𝐜𝐤,"Makassar, Indonesia",313,157,482,2020-12-18 21:27:06,2022-06-01 08:25:18,0,"Gugatan terhadap IKN ditolak, IKN mendukung kemajuan Indonesia
#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/9P1Pe7uMmO","[{'text': 'IbukotaNegara', 'indices': [63, 77]}, {'text': 'IKN', 'indices': [78, 82]}, {'text': 'SemangatNusantara', 'indices': [83, 101]}]"
RSupardji,Bertasbihlah disetiap langkahmu,"Makassar, Indonesia",306,259,1076,2020-05-15 17:09:00,2022-06-01 08:25:06,0,"Gugatan terhadap IKN ditolak, IKN mendukung kemajuan Indonesia
#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/qmUlh5l23j","[{'text': 'IbukotaNegara', 'indices': [63, 77]}, {'text': 'IKN', 'indices': [78, 82]}, {'text': 'SemangatNusantara', 'indices': [83, 101]}]"
WartaFaktual,Mewartakan Fakta,Indonesia,24,1067,99,2022-03-06 19:47:24,2022-06-01 07:48:21,0,"MK tolak gugatan UU IKN dari Busyro Muqoddas dkk
#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/K2o1k3rydc","[{'text': 'IbukotaNegara', 'indices': [49, 63]}, {'text': 'IKN', 'indices': [64, 68]}, {'text': 'SemangatNusantara', 'indices': [69, 87]}]"
tribunkaltim,,"Balikpapan, Indonesia",3582,31899,300794,2010-01-10 11:53:59,2022-06-01 07:39:29,0,"MENDADAK ADA PATOK TANAH YANG BARU DI LOKASI INTI IKN NUSANTARA, BPN: POLDA KALTIM AKAN TURUN TANGAN

#TribunKaltim #IKNNusantara #IKN #PenajamPaserUtara #Kaltim
 
https://t.co/EPOtzGhefs lewat @tribunkaltim","[{'text': 'TribunKaltim', 'indices': [102, 115]}, {'text': 'IKNNusantara', 'indices': [116, 129]}, {'text': 'IKN', 'indices': [130, 134]}, {'text': 'PenajamPaserUtara', 'indices': [135, 153]}, {'text': 'Kaltim', 'indices': [154, 161]}]"
Maju1Indonesia,"Membagikan pandangan positif untuk Indonesia Maju
Jangan Lupa Di Follow",,112,19,220,2019-10-23 18:34:22,2022-06-01 07:33:31,0,MK Tolak gugatan UU #IKN https://t.co/WE1ekW9otM,"[{'text': 'IKN', 'indices': [20, 24]}]"
Maju1Indonesia,"Membagikan pandangan positif untuk Indonesia Maju
Jangan Lupa Di Follow",,112,19,220,2019-10-23 18:34:22,2022-06-01 07:33:00,0,"Konsep Green City, di #IKN https://t.co/bW4R2jEYUQ","[{'text': 'IKN', 'indices': [22, 26]}]"
Maju1Indonesia,"Membagikan pandangan positif untuk Indonesia Maju
Jangan Lupa Di Follow",,112,19,220,2019-10-23 18:34:22,2022-06-01 07:32:14,0,#IKN Nusantara bertujuan untuk peningkatan perekonomian negeri https://t.co/jTA1IKTOfv,"[{'text': 'IKN', 'indices': [0, 4]}]"
Maju1Indonesia,"Membagikan pandangan positif untuk Indonesia Maju
Jangan Lupa Di Follow",,112,19,220,2019-10-23 18:34:22,2022-06-01 07:31:18,0,Pemindahan #IKN dapat meningkatkan kesejahteraan #SemangatNusantara https://t.co/q2BuTIGXNd,"[{'text': 'IKN', 'indices': [11, 15]}, {'text': 'SemangatNusantara', 'indices': [49, 67]}]"
Maju1Indonesia,"Membagikan pandangan positif untuk Indonesia Maju
Jangan Lupa Di Follow",,112,19,220,2019-10-23 18:34:22,2022-06-01 07:29:34,1,#IKN Nusantara untuk Indonesia lebih baik! https://t.co/Vbqvo0e6f4,"[{'text': 'IKN', 'indices': [0, 4]}]"
Fauzia_333,"Alhamdulillah, give thanks Yaa Allah..",Indonesia,947,176,3426,2010-12-12 10:51:07,2022-06-01 07:03:47,0,"Titik Nol Kilometer Ibukota Negara Indonesia.

#ikn #titiknol #balikapapan @ Titik Nol Kilometer Ibu Kota Negara.kecamatan Sepaku Kabupaten Ppu. https://t.co/faJXGfWJcK","[{'text': 'ikn', 'indices': [47, 51]}, {'text': 'titiknol', 'indices': [52, 61]}, {'text': 'balikapapan', 'indices': [62, 74]}]"
Evangel42266552,"NKRI 🇮🇩 Bhineka Tunggal Eka 🇮🇩100%folback penjaga NKRI🇮🇩
⛔ Kadrun ⛔ PKS⛔ No Porn","Semarang Barat, Indonesia",708,407,657,2021-09-28 03:50:16,2022-06-01 07:02:11,11,"Konsep Green City merupakan konsep yang sangat baik karena akan tetap menjaga kelestarian alam yang ada di Kalimantan. 
#IbukotaNegara
#IKN
#SemangatNusantara
#fff #followforfollowback https://t.co/bPXAizW3YA",[]
putrakelana1984,"Pemerhati sosial, Pro NKRI 🇮🇩🇮🇩❤️🇮🇩",Kota Semarang,2393,1489,2228,2022-03-02 02:13:31,2022-06-01 07:00:32,11,"Konsep Green City merupakan konsep yang sangat baik karena akan tetap menjaga kelestarian alam yang ada di Kalimantan. 
#IbukotaNegara
#IKN
#SemangatNusantara
#fff #followforfollowback https://t.co/bPXAizW3YA",[]
giberakata,https://t.co/P7dpEWdWl3,,2485,2269,19751,2019-12-03 05:56:26,2022-06-01 06:42:02,4,"MK Tak Menerima Enam Gugatan Uji Formil UU IKN, Ini Alasannya https://t.co/lR2JQMx6hQ #Mk #MahkamahKonstitusi #Ikn #GugatanTentangIkn","[{'text': 'Mk', 'indices': [107, 110]}, {'text': 'MahkamahKonstitusi', 'indices': [111, 130]}, {'text': 'Ikn', 'indices': [131, 135]}]"
Jelita2020,"There's no wrong or right. Just write!

| Bhineka Tunggal Ika | NKRI |",West Java,1879,1766,19675,2019-12-25 00:56:31,2022-06-01 06:42:02,4,"MK Tak Menerima Enam Gugatan Uji Formil UU IKN, Ini Alasannya https://t.co/lR2JQMx6hQ #Mk #MahkamahKonstitusi #Ikn #GugatanTentangIkn","[{'text': 'Mk', 'indices': [107, 110]}, {'text': 'MahkamahKonstitusi', 'indices': [111, 130]}, {'text': 'Ikn', 'indices': [131, 135]}]"
wahananewsdotco,Akun Resmi Media Wahana News - Inspirasi Konsumen Indonesia,Jakarta,4779,4958,23027,2019-05-04 03:32:58,2022-06-01 06:39:03,4,"MK Tak Menerima Enam Gugatan Uji Formil UU IKN, Ini Alasannya https://t.co/lR2JQMx6hQ #Mk #MahkamahKonstitusi #Ikn #GugatanTentangIkn","[{'text': 'Mk', 'indices': [86, 89]}, {'text': 'MahkamahKonstitusi', 'indices': [90, 109]}, {'text': 'Ikn', 'indices': [110, 114]}, {'text': 'GugatanTentangIkn', 'indices': [115, 133]}]"
GilangTirta14,,,45,17,289,2022-03-28 02:02:20,2022-06-01 06:35:20,9,"IKN Nusantara menggunakan konsep Green City dan Forest City, yang prinsip utamanya adalah mendesain sesuai kondisi alam. 

#IbukotaNegara
#IKN 
#SemangatNusantara https://t.co/Uc9tBJ3gsp",[]
PutriAnya15,,,37,159,321,2022-03-28 02:13:19,2022-06-01 06:34:43,9,"IKN Nusantara menggunakan konsep Green City dan Forest City, yang prinsip utamanya adalah mendesain sesuai kondisi alam. 

#IbukotaNegara
#IKN 
#SemangatNusantara https://t.co/Uc9tBJ3gsp",[]
geandin17,,,64,136,350,2022-03-30 03:28:12,2022-06-01 06:34:01,9,"IKN Nusantara menggunakan konsep Green City dan Forest City, yang prinsip utamanya adalah mendesain sesuai kondisi alam. 

#IbukotaNegara
#IKN 
#SemangatNusantara https://t.co/Uc9tBJ3gsp",[]
Graceumbu1,,,39,34,439,2022-03-11 05:05:23,2022-06-01 06:33:15,9,"IKN Nusantara menggunakan konsep Green City dan Forest City, yang prinsip utamanya adalah mendesain sesuai kondisi alam. 

#IbukotaNegara
#IKN 
#SemangatNusantara https://t.co/Uc9tBJ3gsp",[]
BetaNTT5,,,108,439,463,2022-02-28 00:27:40,2022-06-01 06:32:31,9,"IKN Nusantara menggunakan konsep Green City dan Forest City, yang prinsip utamanya adalah mendesain sesuai kondisi alam. 

#IbukotaNegara
#IKN 
#SemangatNusantara https://t.co/Uc9tBJ3gsp",[]
HumauTinus,,,74,53,467,2021-11-29 05:44:44,2022-06-01 06:31:50,9,"IKN Nusantara menggunakan konsep Green City dan Forest City, yang prinsip utamanya adalah mendesain sesuai kondisi alam. 

#IbukotaNegara
#IKN 
#SemangatNusantara https://t.co/Uc9tBJ3gsp",[]
Yakaligkuyhehe,,,22,141,400,2022-03-29 03:14:52,2022-06-01 06:21:43,9,"IKN Nusantara menggunakan konsep Green City dan Forest City, yang prinsip utamanya adalah mendesain sesuai kondisi alam. 

#IbukotaNegara
#IKN 
#SemangatNusantara https://t.co/Uc9tBJ3gsp",[]
BWijayaku,Berita adalah sumber Informasi yang dapat mengisi ruang dan hati kita dengan Pengetahuan.,"Temanggung, Indonesia",933,603,1347,2021-06-17 10:19:36,2022-06-01 06:16:26,11,"Konsep Green City merupakan konsep yang sangat baik karena akan tetap menjaga kelestarian alam yang ada di Kalimantan. 
#IbukotaNegara
#IKN
#SemangatNusantara
#fff #followforfollowback https://t.co/bPXAizW3YA",[]
ArabMulyo,Pancasila Ada di Jiwa Raga Ini.,"Pekalongan Utara, Indonesia",962,581,1276,2021-06-18 10:28:07,2022-06-01 06:11:49,11,"Konsep Green City merupakan konsep yang sangat baik karena akan tetap menjaga kelestarian alam yang ada di Kalimantan. 
#IbukotaNegara
#IKN
#SemangatNusantara
#fff #followforfollowback https://t.co/bPXAizW3YA",[]
KikiDWibowo,Pelan Tapi Pasti,,1585,940,171,2022-02-28 04:02:03,2022-06-01 06:09:01,11,"Konsep Green City merupakan konsep yang sangat baik karena akan tetap menjaga kelestarian alam yang ada di Kalimantan. 
#IbukotaNegara
#IKN
#SemangatNusantara
#fff #followforfollowback https://t.co/bPXAizW3YA",[]
CitraPurnama92,do what you love and love what you do,,355,267,1506,2021-02-03 11:47:47,2022-06-01 05:11:49,0,"Pemindahan IKN Meningkatkan Kesejahteraan Masyarakat Kaltim 
#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/HAv8ERYE3w","[{'text': 'IbukotaNegara', 'indices': [61, 75]}, {'text': 'IKN', 'indices': [76, 80]}, {'text': 'SemangatNusantara', 'indices': [81, 99]}]"
CitraPurnama92,do what you love and love what you do,,355,267,1506,2021-02-03 11:47:47,2022-06-01 05:11:17,0,"Pemindahan IKN Tingkatkan Perekonomian Menjaga Kelestarian Alam dan Budaya 
#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/1rAmYmIHSp","[{'text': 'IbukotaNegara', 'indices': [76, 90]}, {'text': 'IKN', 'indices': [91, 95]}, {'text': 'SemangatNusantara', 'indices': [96, 114]}]"
AryoDek0,"Berdoalah, Karena Kita Adalah Manusia Bertuhan.","Wonosobo, Indonesia",841,417,1522,2021-05-24 14:07:55,2022-06-01 05:10:58,11,"Konsep Green City merupakan konsep yang sangat baik karena akan tetap menjaga kelestarian alam yang ada di Kalimantan. 
#IbukotaNegara
#IKN
#SemangatNusantara
#fff #followforfollowback https://t.co/bPXAizW3YA",[]
CitraPurnama92,do what you love and love what you do,,355,267,1506,2021-02-03 11:47:47,2022-06-01 05:10:27,0,"IKN Nusantara Pertahankan Kelestarian Lingkungan 
#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/FSeSrjgZI1","[{'text': 'IbukotaNegara', 'indices': [50, 64]}, {'text': 'IKN', 'indices': [65, 69]}, {'text': 'SemangatNusantara', 'indices': [70, 88]}]"
CitraPurnama92,do what you love and love what you do,,355,267,1506,2021-02-03 11:47:47,2022-06-01 05:04:31,0,"Konsep Green City Merupakan Konsep Yang Yang Sangat Baik
#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/jLkr61z6DV","[{'text': 'IbukotaNegara', 'indices': [57, 71]}, {'text': 'IKN', 'indices': [72, 76]}, {'text': 'SemangatNusantara', 'indices': [77, 95]}]"
Purnama35460116,,,83,69,941,2021-07-09 08:33:58,2022-06-01 05:02:21,1,"Konsep Green city merupakan konsep sangat baik
#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/ZVS9l6UKFR","[{'text': 'IbukotaNegara', 'indices': [68, 82]}, {'text': 'IKN', 'indices': [83, 87]}, {'text': 'SemangatNusantara', 'indices': [88, 106]}]"
VIVAcoid,,,3,4536814,1510074,2009-05-22 02:19:27,2022-06-01 05:00:08,1,"Menteri Keuangan Sri Mulyani Indrawati mengungkapkan belanja infrastruktur pada 2023 dianggarkan pada kisaran Rp367,7 triliun sampai Rp417,7 triliun. Anggaran pembangunan Ibu Kota Negara (IKN) Nusantara.

Selengkapnya : https://t.co/G5pbPUMmRu
__
#Vivacoid #IKN #Srimulyani https://t.co/hirksKYwPX","[{'text': 'Vivacoid', 'indices': [247, 256]}, {'text': 'IKN', 'indices': [257, 261]}, {'text': 'Srimulyani', 'indices': [262, 273]}]"
Purnama35460116,,,83,69,941,2021-07-09 08:33:58,2022-06-01 04:51:20,1,"Konsep Green city merupakan konsep sangat baik
#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/ZVS9l6UKFR","[{'text': 'IbukotaNegara', 'indices': [47, 61]}, {'text': 'IKN', 'indices': [62, 66]}, {'text': 'SemangatNusantara', 'indices': [67, 85]}]"
BTISatu01,Bhineka Tunggal Ika,,146,61,487,2022-03-01 09:55:05,2022-06-01 04:42:29,0,"Demi kemajuan Bangsa Mari kita dukung IKN.
#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/EhgvH4rbkx","[{'text': 'IbukotaNegara', 'indices': [43, 57]}, {'text': 'IKN', 'indices': [58, 62]}, {'text': 'SemangatNusantara', 'indices': [63, 81]}]"
WartaFaktual,Mewartakan Fakta,Indonesia,24,1067,99,2022-03-06 19:47:24,2022-06-01 03:58:10,0,"Konsep Green City merupakan konsep yang sangat baik karena akan tetap menjaga kelestarian alam yang ada di Kalimantan
#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/pjHklEuwPc","[{'text': 'IbukotaNegara', 'indices': [118, 132]}, {'text': 'IKN', 'indices': [133, 137]}, {'text': 'SemangatNusantara', 'indices': [138, 156]}]"
hamaro_id,,,8484,9674,250423,2010-12-25 02:14:33,2022-06-01 03:31:12,1,"Siemens kepincut ikut proyek di IKN untuk garap Energi Hijau
----
Siemens 
----
#ikn #nusantara
#SukseskanPembangunanRI https://t.co/2gd38M9G1n","[{'text': 'ikn', 'indices': [97, 101]}, {'text': 'nusantara', 'indices': [102, 112]}, {'text': 'SukseskanPembangunanRI', 'indices': [113, 136]}]"
tribunkaltim,,"Balikpapan, Indonesia",3582,31899,300794,2010-01-10 11:53:59,2022-06-01 03:23:09,0,"Kementerian ATR/BPN Jelaskan Patok Ilegal di IKN, Lahan Warga di Kawasan Inti IKN sudah Didata
 
#IKN #IbuKotaNegara #IKNNusantara #PenajamPaserUtara #PPU #Kaltim #KalimantanTimur

https://t.co/iuBsjyPgyj lewat @tribunkaltim","[{'text': 'IKN', 'indices': [97, 101]}, {'text': 'IbuKotaNegara', 'indices': [102, 116]}, {'text': 'IKNNusantara', 'indices': [117, 130]}, {'text': 'PenajamPaserUtara', 'indices': [131, 149]}, {'text': 'PPU', 'indices': [150, 154]}, {'text': 'Kaltim', 'indices': [155, 162]}, {'text': 'KalimantanTimur', 'indices': [163, 179]}]"
hamaro_id,,,8484,9674,250423,2010-12-25 02:14:33,2022-06-01 03:21:21,1,"Makin Serius 
Pembangunan IKN libatkan Tim Ahli dr Jepang 
------
#IKN #Nusantara
#SukseskanPembangunanRI https://t.co/FVPur2v2De","[{'text': 'IKN', 'indices': [83, 87]}, {'text': 'Nusantara', 'indices': [88, 98]}, {'text': 'SukseskanPembangunanRI', 'indices': [99, 122]}]"
pancasilan1,,Brebes,43,31,2397,2021-02-03 09:44:17,2022-06-01 03:01:49,11,"Konsep Green City merupakan konsep yang sangat baik karena akan tetap menjaga kelestarian alam yang ada di Kalimantan. 
#IbukotaNegara
#IKN
#SemangatNusantara
#fff #followforfollowback https://t.co/bPXAizW3YA",[]
penjagagaruda,,,28,25,1736,2021-02-03 09:52:54,2022-06-01 03:01:15,11,"Konsep Green City merupakan konsep yang sangat baik karena akan tetap menjaga kelestarian alam yang ada di Kalimantan. 
#IbukotaNegara
#IKN
#SemangatNusantara
#fff #followforfollowback https://t.co/bPXAizW3YA",[]
risauma68144702,IG : @risa.umami16,Wonosobo,28,19,2187,2021-02-09 10:05:44,2022-06-01 02:59:41,11,"Konsep Green City merupakan konsep yang sangat baik karena akan tetap menjaga kelestarian alam yang ada di Kalimantan. 
#IbukotaNegara
#IKN
#SemangatNusantara
#fff #followforfollowback https://t.co/bPXAizW3YA",[]
